Epoch,Segmentation Accuracy,True Positives,False Positives,False Negatives,True Negatives
1,0.7215362191200256,19092375,15556271,2252539,23211711
2,0.8141817450523376,24132584,10559295,3459956,21961061
3,0.8370787501335144,27851948,6792096,5420155,20048697
4,0.8442531824111938,28905045,5764261,5938947,19504643
5,0.8471527695655823,29261196,5356578,6041328,19453794
6,0.8509014844894409,30246720,4414126,6948109,18503941
7,0.8541762828826904,29325699,5311861,5896899,19578437
8,0.8574756979942322,30756789,3898383,7362063,18095661
9,0.8587641716003418,30127353,4524237,6673683,18787623
10,0.8605900406837463,30615035,4077306,7076956,18343599
11,0.8617663383483887,30156810,4499469,6792451,18664166
12,0.8634964227676392,30456889,4189895,7010662,18455450
13,0.864644467830658,30466985,4192915,7016161,18436835
14,0.8652456998825073,30883904,3756681,7357968,18114343
15,0.8666612505912781,31556297,3087213,8361316,17108070
16,0.867005467414856,31136032,3526090,7827932,17622842
17,0.8676793575286865,30391210,4271300,6861519,18588867
18,0.8693523406982422,30912294,3738007,7453166,18009429
19,0.8700338006019592,30882731,3788121,7464914,17977130
20,0.8706226944923401,31401782,3264469,8081167,17365478
21,0.8195648789405823,31094607,3562892,7789551,17665846
22,0.8231368064880371,30931904,3745078,7363205,18072709
23,0.8241895437240601,30718688,3916339,7196423,18281446
24,0.8280825614929199,30485019,4166477,6892126,18569274
25,0.8335925936698914,30280497,4360003,6748923,18723473
26,0.8330596685409546,30133072,4529145,6472441,18978238
27,0.8368112444877625,29979889,4679744,6421655,19031608
28,0.8383592367172241,29888535,4767505,6338035,19118821
29,0.8410530686378479,29786295,4869634,6230655,19226312
30,0.8418546915054321,29640995,5004283,6188514,19279104
